event type	camera position	camera rotation	oxygen	oxygen two	suit pressure	battery	body temperature	water	heart rate	timestamp	task text	task setp	procedure number	
Start procedure	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	832.7042	3600	4.681001	99.33986	99.80996	6.934005	65.79996	9/10/2018 11:26:44 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
Next task	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	830.7047	3600	4.677001	99.23984	99.76995	6.924006	65.76995	9/10/2018 11:26:45 PM	Use the PANEL ACCESS KEY to unlock the PANEL ACCESS DOOR LOCKS.	2	1	
Next task	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	830.1049	3600	4.676002	99.20983	99.75995	6.921006	65.75995	9/10/2018 11:26:46 PM	Carefully return keys to the side of the EVA kit.	3	1	
Next Procedure	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	829.0051	3600	4.675002	99.17982	99.74995	6.918006	65.74995	9/10/2018 11:26:46 PM	Carefully return keys to the side of the EVA kit.	3	1	
Next Procedure	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	827.3055	3600	4.679001	99.16982	99.78996	6.917006	65.79996	9/10/2018 11:26:47 PM	Carefully return keys to the side of the EVA kit.	3	1	
Next Procedure	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	826.4058	3600	4.678001	99.13982	99.77995	6.914006	65.77995	9/10/2018 11:26:47 PM	Carefully return keys to the side of the EVA kit.	3	1	
Next task	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	825.9059	3600	4.679001	99.11981	99.78996	6.912006	65.79996	9/10/2018 11:26:48 PM	Insert your fingers in the CENTER OPENING and secure the PANEL ACCESS DOOR in an OPEN position.	4	1	
Next task	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	825.1061	3600	4.684001	99.08981	99.83997	6.909007	65.82996	9/10/2018 11:26:48 PM	On your belt, use the BLUE CARABINEER to securely tether to the TETHER CABLE inside the STORAGE.	5	1	
Next Procedure	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	823.8064	3600	4.684001	99.02979	99.83997	6.903007	65.84997	9/10/2018 11:26:49 PM	On your belt, use the BLUE CARABINEER to securely tether to the TETHER CABLE inside the STORAGE.	5	1	
Next Procedure	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	823.2065	3600	4.686001	98.99979	99.85997	6.900007	65.84997	9/10/2018 11:26:49 PM	On your belt, use the BLUE CARABINEER to securely tether to the TETHER CABLE inside the STORAGE.	5	1	
