$Procedure 1						
Step 	Expected Time	text	caution	warning	holograms	images
1	0	"On your belt, use the blue carabiner to securely tether to the tether cable inside the storage area."	Notice the tether cable is adjustable.		ToolArea	
2	0	Locate the E-stop key inside the storage area.			ToolArea	
3	0	"Locate the E-stop button, insert keys into it and turn it to off."			E-Stop	6
4	0	Locate the fusable disconnect box.			FusibleDisconnectBox	
5	0	Attach a carabiner from the storage area to the blue carabiner on the fusible disconnect box.			FusibleDisconnectBox	
6	0	Remove the blue carabiner from the fusible disconnect box.			FusibleDisconnectBox	9
7	0	Transfer the blue carabiner to storage.			ToolArea	
8	0	"Open the fusible disconnect box, and secure the lid in the open position."	Pull the locking tab towards STORAGE with the thumb		FusibleDisconnectBox	11
9	0	Locate the black disconnect in the top of the fusible disconnect box.			FuseBoxTop	
10	0	Attache a carabiner from the storage area to the black disconnect.			FuseBoxTop	
11	0	Remove the disconnect.	Pull up with the index and middle fingers while pushing down on the FUSE ACCESS PANEL with the thumb		FuseBoxTop	14
12	0	Place the disconnect in the storage area.			ToolArea	
13	0	Locate the fuse access panel in the bottom of the fusible disconnect box.			FuseBoxBottom	
14	0	Attach a carabiner from the storage area to the fuse access panel.			FuseBoxBottom	
15	0	Remove the fuse access panel by pulling straight up.			FuseBoxBottom	17
16	0	Place the fuse access panel in the storage area.			ToolArea	
17	0	Locate the alarm fuse to the left in the fusible disconnect box.			FuseBoxFuse	
18	0	Attach a carabiner from the storage area to the alarm fuse.			FuseBoxFuse	
19	0	"In the storage area, locate the blue fuse puller."			ToolArea	
20	0	Use the blue fuse puller to remove the alarm fuse in the left of the fusible disconnect box.	Rock the ALARM FUSE with the FUSE PULLER when pulling up		FuseBoxFuse	21
21	0	"Return the alarm fuse, and alarm puller to the storage area."			ToolArea	
22	0	"In the storage area, locate the fuse access panel from the bottom of the fusible disconnect box."			ToolArea	23
23	0	Reinstall the fuse access panel into the bottom of the fusible disconnect box.			FuseBoxBottom	23
24	0	Remove the carabiner from the fuse access panel and store it in the storage area.		All tethers are under  spring tension and can retract quickly	ToolArea	
25	0	"In the storage area, locate the black disconnect from the top of the fusible disconnect box."			ToolArea	25
26	0	Reinstall the black disconnect into the top of the fusible disconnect box.	The DISCONNECT must read ON in the upper right corner to restore Conductivity		FuseBoxTop	25
27	0	Remove the carabiner from the black disconnect and store it in the storage area.		All tethers are under spring tension and can retract quickly	ToolArea	
28	0	Close the fusible disconnect box cover.			FusibleDisconnectBox	
29	0	Locate the small blue carabiner for the fusible disconnect box in the storage area.			ToolArea	28
30	0	Attach the small blue carabiner to the fusible disconnect box.			FusibleDisconnectBox	28
31	0	Remove the carabiner attached to the small blue carabiner and return it to the storage area.		All tethers are under spring tension and can retract quickly	ToolArea	
32	0	Procedure complete. Say Next Procedure to continue.				
$Procedure 2						
Step 	Expected Time	text	caution	warning	holograms	images
1	0	Locate the auxiliary power input.			Aux_PowerInput	
2	0	"Locate the battery to the left of the auxilary power input, and attach a carabiner from the storage area."	Depress the red and black plastic hammers on the side of the AUX. POWER INPUT and pull the leads straight up		BatteryArea	
3	0	Undo the battery pack leads from the auxiliary power input.			Aux_PowerInput	2.3
4	0	Pick up the battery pack from the EVA kit.			BatteryArea	
5	0	Locate the ON/OFF switch on the top of the battery pack and switch it to the off position.			BatteryArea	2.5
6	0	Plase the battery pack in the storage area.			ToolArea	
7	0	In the storage area find the replacment battery pack.			ToolArea	
8	0	Locate the ON/OFF switch on the top of the battery pack and switch it to the on position.			ToolArea	
9	0	Attach the replacment battery to the velcro to the left of the auxiliary power input.			BatteryArea	
10	0	Insert the battery pack leads into the same colored ports on the auxiliary power input.	Depress the red and black plastic hammers on the side of the AUX. POWER INPUT and push leads straight into their ports		Aux_PowerInput	
11	0	Conduct a GENTLE PULL TEST on the wires			Aux_PowerInput	
12	0	"Remove the carabiner from the battery pack, and store it in the storage area."		All tethers are under spring tension and can retract quickly	ToolArea	
13	0	"In the storage area, locate the 220 volt plug."			ToolArea	
14	0	Locate the power out box and install the 220 volt plug.	"Outlet and plug mate are stiff, ensure the full engagement of the plug into the outlet"		PowerOutputBox	2.12
15	0	"Locate the metal buss bars and verify there are black, green and white busses, each with 2 openings."			BusBars	
16	0	Insert the white 220 volt lead into the left white buss opening and gently tighten the thumbscrew.	DO NOT over tighten the thumbscrew		BusBars	2.16
